I1,I2,La,Lb,Mab,FLUX_in_RCORE,FLUX_in_LCORE,FLUX_in_UCORE,Leak_R,Leak_L
-200,160,5.34E-05,4.84E-05,-7.41E-06,2.120343045,-2.080390284,-2.135990593,-0.015281501,0.012394722
-200,180,4.98E-05,4.80E-05,-6.83E-06,2.122538896,-2.102930422,-2.140952094,-0.014756869,0.013420958
-200,200,4.76E-05,4.76E-05,-6.45E-06,2.123239367,-2.123154677,-2.146657323,-0.014219941,0.014403528
-200,220,4.58E-05,4.73E-05,-6.14E-06,2.123838097,-2.141008982,-2.146973924,-0.01377761,0.015272089
-200,240,4.41E-05,4.70E-05,-5.84E-06,2.125467127,-2.157778294,-2.153130362,-0.013281001,0.016103843
-200,260,4.21E-05,4.67E-05,-5.53E-06,2.126427119,-2.171936443,-2.154178939,-0.013012426,0.016962302
-180,-260,6.89E-05,1.25E-04,-3.03E-05,-0.282814539,2.037842346,1.613405534,-0.053225663,-0.054094251
-180,-240,7.52E-05,1.21E-04,-3.22E-05,-0.051688455,1.978156543,1.603064197,-0.053065956,-0.054366531
-180,-220,8.41E-05,1.17E-04,-3.45E-05,-0.13964627,1.941984007,1.366890224,-0.052815002,-0.052684062
-180,-200,0.00009354,1.11E-04,-3.66E-05,-0.018803965,1.817458842,1.203631111,-0.052829514,-0.053185098
-180,-180,0.000106816,0.00010682,-0.000039734,0.906661199,0.907362422,-0.001787097,-0.052700474,-0.052466106
-180,-160,1.31E-04,0.000103256,-4.59E-05,1.801169195,-0.19699058,-1.33689727,-0.047282092,-0.047406448
-180,-140,1.54E-04,9.83E-05,-5.02E-05,1.910137811,-0.486478971,-1.577147317,-0.042267777,-0.041535156
-180,-120,1.68E-04,9.31E-05,-5.10E-05,1.945352314,-0.708091012,-1.748101453,-0.039080035,-0.036336783
-180,-100,1.71E-04,8.64E-05,-4.79E-05,1.990889174,-0.90714785,-1.830078128,-0.034536784,-0.0307174
-180,-80,1.68E-04,7.86E-05,-4.26E-05,2.017883766,-1.078446834,-1.900235147,-0.032037492,-0.025062549
-180,-60,1.57E-04,7.25E-05,-3.63E-05,2.030922889,-1.141328114,-1.955776484,-0.029591364,-0.019932901
-180,-40,1.45E-04,6.79E-05,-3.07E-05,2.047462359,-1.400017405,-1.996233582,-0.02651974,-0.01490248
-180,-20,1.33E-04,6.42E-05,-2.60E-05,2.061590951,-1.534021753,-2.029151725,-0.024056331,-0.010069565
-180,0,1.18E-04,6.13E-05,-2.17E-05,2.068697627,-1.634735961,-2.052699739,-0.022276352,-0.005661664
-180,20,1.02E-04,5.90E-05,-1.80E-05,2.075716201,-1.741344596,-2.072293329,-0.020621401,-0.001829852
-180,40,8.77E-05,5.72E-05,-1.49E-05,2.082687785,-1.818074861,-2.086804383,-0.019175705,0.001274064
-180,60,7.80E-05,5.58E-05,-1.28E-05,2.085950449,-1.881991599,-2.096870138,-0.018148841,0.00401151
-180,80,7.20E-05,5.46E-05,-1.15E-05,2.090517215,-1.9374462,-2.106732308,-0.017132422,0.006042628
-180,100,6.68E-05,5.35E-05,-1.04E-05,2.093704181,-1.980550419,-2.114315369,-0.016200893,0.007920335
-180,120,6.13E-05,5.25E-05,-9.34E-06,2.09618179,-2.022304728,-2.120947148,-0.0154176,0.009877094
-180,140,5.77E-05,5.16E-05,-8.60E-06,2.098909081,-2.052313878,-2.127141997,-0.014857359,0.011605258
-180,160,5.41E-05,5.09E-05,-7.91E-06,2.100836113,-2.078210393,-2.131846837,-0.014294883,0.012807501
-180,180,5.02E-05,5.03E-05,-7.25E-06,2.10234107,-2.101022513,-2.136356748,-0.013832207,0.013876558
-180,200,4.80E-05,4.98E-05,-6.82E-06,2.103898629,-2.12164078,-2.139584054,-0.013097519,0.014820874
-180,220,4.62E-05,4.93E-05,-6.48E-06,2.10545069,-2.140296682,-2.145374035,-0.01264708,0.015812668
-180,240,4.44E-05,4.89E-05,-6.16E-06,2.105396139,-2.156897289,-2.148667583,-0.012321261,0.016410653
