t,Ia,Ib,I_total,Fluxr,Fluxl,Fluxu,Leakr,Leakl
2.3550000000000003e-05,116.01438262296512,100.50534670373287,216.51972932669798,1.4567058611761514,-0.4180989112548564,-1.2210630920526517,0.030756525202667112,0.02979332236442677
2.3575e-05,116.05896982900198,100.55508103023152,216.6140508592335,1.4566182012908935,-0.41757755090535176,-1.220654226311426,0.03076906276079703,0.02980642485859585
2.36e-05,116.1035621012699,100.60482139086723,216.70838349213713,1.4565310812633205,-0.4170551980838611,-1.2202454529516817,0.03078164124689872,0.029819560987036788
2.3625e-05,116.1481594368977,100.6545677753566,216.8027272122543,1.4564445017024938,-0.4165318529542241,-1.2198367726167716,0.030794260672881674,0.02983273075860122
2.3650000000000002e-05,116.1927618330122,100.70432017340093,216.89708200641314,1.456358463217934,-0.4160075156815926,-1.2194281859510114,0.03080692105063285,0.029845934182121114
2.3675000000000003e-05,116.23736928673827,100.75407857468623,216.9914478614245,1.456272966419633,-0.41548218643244067,-1.219019693599695,0.03081962239201667,0.02985917126640885
2.3700000000000003e-05,116.28198179519876,100.8038429688833,217.08582476408208,1.4561880119180315,-0.4149558653745453,-1.2186112962090654,0.03083236470887498,0.0298724420202571
2.3725e-05,116.32659935551449,100.85361334564772,217.1802127011622,1.4561036003240282,-0.414428552676998,-1.21820299442633,0.030845148013026992,0.029885746452438848
2.375e-05,116.37122196480426,100.90338969461989,217.27461165942415,1.4560197322489772,-0.4139002485102017,-1.2177947888996539,0.030857972316269234,0.02989908457170733
2.3775000000000002e-05,116.41584962018483,100.9531720054251,217.36902162560995,1.4559364083046777,-0.4133709530458612,-1.217386680278148,0.030870837630375583,0.02991245638679605
2.3800000000000003e-05,116.46048231877089,101.00296026767352,217.4634425864444,1.455853629103368,-0.4128406664569807,-1.216978669211863,0.03088374396709716,0.02992586190641874
2.3825000000000003e-05,116.50512005767504,101.05275447096024,217.5578745286353,1.4557713952577431,-0.4123093889178825,-1.2165707563518136,0.03089669133816232,0.029939301139269306
2.3850000000000004e-05,116.54976283400784,101.10255460486535,217.65231743887318,1.4556897073809174,-0.41177712060416877,-1.2161629423499256,0.03090967975527659,0.02995277409402182
2.3875e-05,116.59441064487767,101.15236065895391,217.74677130383157,1.4556085660864448,-0.41124386169274385,-1.2157552278590666,0.03092270923012271,0.029966280779330553
2.39e-05,116.63906348739086,101.20217262277603,217.8412361101669,1.4555279719883225,-0.4107096123618218,-1.215347613533052,0.03093577977436049,0.029979821203829818
